Day,Time,Group,Food Name,Amount,Energy (kcal),Oxalate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Alpha-carotene (µg),Beta-carotene (µg),Beta-cryptoxanthin (µg),Choline (mg),Folate (µg),Lutein+Zeaxanthin (µg),Lycopene (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sucrose (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2024-05-23,,"Staples","Cacao Powder - Blueprint / Cocoa Dynamics","0.00 tsp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-23,,"Staples","Olive Oil","25.00 g",221.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,3.59,15.05,0.25,0.00,0.08,0.14,0.00,0.00,0.00,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,18.24,2.63,3.45,0.04,0.19,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-23,,"Staples","Mixed Nuts Prototype","40.00 g",256.11,92.48,1.56,0.23,0.10,0.66,0.26,0.13,0.00,0.17,3.03,0.51,17.82,19.14,8.06,0.00,0.28,0.63,0.00,2.85,3.11,47.60,0.58,,1.52,86.29,1.33,165.71,225.77,111.75,1.31,1.39,6.95,3.31,0.02,1.51,1.55,1.60,3.60,24.83,0.00,13.34,7.02,3.23,0.00,0.60,6.39,0.27,0.79,0.65,0.09,1.40,0.32,0.15,,0.22,0.43,0.18,0.13,0.30,0.26,5.77,0.30,0.20,0.07,0.16,0.28,""
2024-05-23,,"Staples","Mixed Vegetables Prototype","900.00 g",335.45,66.67,776.10,0.60,0.99,7.04,2.61,1.03,0.02,3363.77,12421.15,402.26,156.59,688.34,13845.18,539.89,1192.01,277.12,3.85,7.02,1095.17,440.11,0.88,2.21,6.19,180.87,2.66,476.02,1870.14,12.45,170.36,3.26,53.43,25.87,4.60,3.44,5.60,16.43,26.40,7.72,0.00,1.11,3.47,1.10,0.01,1.15,1.72,1.28,1.51,2.79,0.30,4.31,1.02,0.80,,1.09,1.63,1.58,0.29,1.14,1.26,27.36,1.30,1.10,0.28,0.71,1.27,""
2024-05-23,,"Sometimes","Bjorn Qorn","0.00 small bag",0.00,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,0.00,,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,0.00,,,,,,""
2024-05-23,,"Sometimes","Rooibos Tea","2.00 cup",0.00,0.00,478.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.22,0.05,,0.00,4.74,0.00,0.00,0.00,0.00,18.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-23,,"Sometimes","KSM-66 Ashwagandha","0.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-23,,"Supplements","Vitamin D","3.00 x 1000.0 IU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-23,,"Supplements","Doctor's Best, Fully Active Folate","1.00 capsule",,,,,,,,,,,,,,400.00,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-23,,"Supplements","Nature's Bounty, Vitamin B12, 1000 mcg","1.00 tablet",,,,,,,,,1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-23,,"Supplements","Aspirin","81.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-23,,"Supplements","Metagenics OmegaGenics EPA-DHA 720","2.00 softgel",25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,5.00,,,,,1.60,,,,,,,,,,,,,,,,,,,,,,""
2024-05-23,,"Supplements","Zinc","4.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-23,,"Supplements","Cetirizine (Zyrtec)","1.00 x 10.0 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-23,,"Supplements","Kyolic, Aged Garlic Extract, Formula 100","1.00 Capsules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-24,,"Staples","Cacao Powder - Blueprint / Cocoa Dynamics","0.00 tsp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-24,12:18 PM,"Staples","Daily Gruel","632.00 g",562.47,84.07,502.26,0.48,0.80,11.64,2.15,0.74,4.96,1867.37,6896.70,223.56,183.59,395.67,7689.71,299.70,681.83,154.15,581.68,8.39,617.12,551.00,0.86,1.26,5.04,175.49,2.17,725.74,1483.81,102.21,476.17,3.46,33.13,16.01,2.57,2.66,3.88,9.92,16.46,34.20,82.93,17.60,8.25,4.84,0.05,2.25,5.47,2.31,2.68,4.77,0.39,6.36,2.14,1.13,,1.79,2.88,2.94,0.87,1.73,1.81,41.15,1.89,1.91,0.44,1.31,2.08,""
2024-05-24,7:30 AM,"Staples","Daily Gruel","632.00 g",562.47,84.07,502.26,0.48,0.80,11.64,2.15,0.74,4.96,1867.37,6896.70,223.56,183.59,395.67,7689.71,299.70,681.83,154.15,581.68,8.39,617.12,551.00,0.86,1.26,5.04,175.49,2.17,725.74,1483.81,102.21,476.17,3.46,33.13,16.01,2.57,2.66,3.88,9.92,16.46,34.20,82.93,17.60,8.25,4.84,0.05,2.25,5.47,2.31,2.68,4.77,0.39,6.36,2.14,1.13,,1.79,2.88,2.94,0.87,1.73,1.81,41.15,1.89,1.91,0.44,1.31,2.08,""
2024-05-24,10:21 AM,"Staples","Fruit Jars Prototype","1.00 jar",132.26,32.81,192.43,0.12,0.10,1.47,0.42,0.15,0.00,22.36,378.64,22.95,17.97,49.42,201.89,1.41,33.44,54.86,0.00,1.36,18.46,47.45,0.20,0.17,1.33,38.10,1.09,56.64,350.83,1.73,4.43,0.45,30.10,7.15,8.61,0.69,3.86,20.34,22.15,1.95,0.00,0.33,0.97,0.20,0.00,0.66,0.30,0.18,0.10,0.33,0.02,0.26,0.08,0.04,,0.06,0.09,0.08,0.02,0.06,0.10,2.22,0.11,0.07,0.02,0.04,0.08,""
2024-05-24,10:21 AM,"Staples","Honey","40.00 g",121.60,0.12,6.84,0.00,0.02,0.05,0.03,0.01,0.00,0.00,0.00,0.00,0.88,0.80,0.00,0.00,0.00,0.20,0.00,0.00,0.00,2.40,0.01,,0.17,0.80,0.03,1.60,20.80,0.32,1.60,0.09,32.96,0.08,16.38,0.00,0.36,32.85,32.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.00,0.00,0.00,0.00,0.00,"Sweets"
2024-05-24,12:27 PM,"Staples","Rao's Marinara Sauce","35.00 g",24.61,5.24,30.44,0.01,0.01,0.20,0.04,0.03,0.00,30.71,137.70,0.08,2.35,5.69,41.84,777.22,12.76,4.37,0.00,0.48,7.28,10.09,0.03,0.10,0.30,5.28,0.08,9.05,83.01,0.07,115.10,0.07,1.69,0.54,0.44,0.16,0.02,0.89,1.14,2.00,0.00,1.41,0.23,0.28,0.00,0.02,0.19,0.01,0.01,0.05,0.00,0.14,0.01,0.01,,0.01,0.01,0.01,0.00,0.01,0.01,0.37,0.01,0.01,0.00,0.01,0.01,""
2024-05-24,12:27 PM,"Staples","Fish, Salmon, Pink, Canned, Drained Solids","53.00 g",73.14,,37.48,0.01,0.11,3.93,0.30,0.06,2.62,,,,46.53,2.12,,,10.60,,307.40,0.68,0.05,149.99,0.04,,0.41,16.96,0.02,200.87,176.49,20.94,201.93,0.51,,,,,,,,2.66,43.99,0.64,0.80,0.47,0.01,0.65,0.05,0.78,0.77,1.54,0.09,1.73,0.75,0.32,,0.57,0.93,1.05,0.34,0.50,0.52,12.24,0.54,0.64,0.13,0.44,0.66,"Finfish and Shellfish Products"
2024-05-24,1:45 PM,"Sometimes","Bjorn Qorn","1.00 small bag",150.00,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,6.00,,,,0.00,,170.00,,15.00,3.00,,,,0.00,12.00,9.00,0.00,,,0.50,0.00,,,,,,,,,,,,,,,,,3.00,,,,,,""
2024-05-24,,"Sometimes","Rooibos Tea","2.00 cup",0.00,0.00,478.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.22,0.05,,0.00,4.74,0.00,0.00,0.00,0.00,18.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-24,,"Sometimes","KSM-66 Ashwagandha","0.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-24,,"Supplements","Vitamin D","3.00 x 1000.0 IU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-24,,"Supplements","Doctor's Best, Fully Active Folate","1.00 capsule",,,,,,,,,,,,,,400.00,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-24,,"Supplements","Nature's Bounty, Vitamin B12, 1000 mcg","1.00 tablet",,,,,,,,,1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-24,,"Supplements","Aspirin","81.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-24,,"Supplements","Metagenics OmegaGenics EPA-DHA 720","2.00 softgel",25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,5.00,,,,,1.60,,,,,,,,,,,,,,,,,,,,,,""
2024-05-24,,"Supplements","Zinc","4.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-24,,"Supplements","Cetirizine (Zyrtec)","1.00 x 10.0 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-24,,"Supplements","Kyolic, Aged Garlic Extract, Formula 100","1.00 Capsules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-25,8:00 AM,"Staples","Mixed Vegetables Prototype","450.00 g",167.72,33.33,388.05,0.30,0.50,3.52,1.31,0.51,0.01,1681.88,6210.58,201.13,78.29,344.17,6922.59,269.95,596.01,138.56,1.93,3.51,547.58,220.06,0.44,1.11,3.09,90.44,1.33,238.01,935.07,6.23,85.18,1.63,26.71,12.94,2.30,1.72,2.80,8.22,13.20,3.86,0.00,0.55,1.74,0.55,0.00,0.57,0.86,0.64,0.75,1.40,0.15,2.16,0.51,0.40,,0.55,0.82,0.79,0.14,0.57,0.63,13.68,0.65,0.55,0.14,0.36,0.64,""
2024-05-25,8:00 AM,"Staples","Fish, Salmon, Pink, Canned, Drained Solids","25.00 g",34.50,,17.68,0.01,0.05,1.85,0.14,0.03,1.24,,,,21.95,1.00,,,5.00,,145.00,0.32,0.03,70.75,0.02,,0.19,8.00,0.01,94.75,83.25,9.88,95.25,0.24,,,,,,,,1.26,20.75,0.30,0.38,0.22,0.01,0.31,0.03,0.37,0.36,0.72,0.04,0.82,0.36,0.15,,0.27,0.44,0.50,0.16,0.24,0.24,5.78,0.25,0.30,0.06,0.21,0.31,"Finfish and Shellfish Products"
2024-05-25,8:00 AM,"Staples","Olive Oil","12.50 g",110.50,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.79,7.53,0.13,0.00,0.04,0.07,0.00,0.00,0.00,0.13,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,9.12,1.32,1.73,0.02,0.10,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-25,8:00 AM,"Staples","Mixed Nuts Prototype","20.00 g",128.06,46.24,0.78,0.12,0.05,0.33,0.13,0.06,0.00,0.09,1.51,0.26,8.91,9.57,4.03,0.00,0.14,0.32,0.00,1.42,1.56,23.80,0.29,,0.76,43.14,0.67,82.86,112.89,55.88,0.66,0.70,3.47,1.65,0.01,0.76,0.77,0.80,1.80,12.42,0.00,6.67,3.51,1.62,0.00,0.30,3.20,0.13,0.39,0.32,0.04,0.70,0.16,0.08,,0.11,0.22,0.09,0.07,0.15,0.13,2.88,0.15,0.10,0.03,0.08,0.14,""
2024-05-25,,"Staples","Cacao Powder - Blueprint / Cocoa Dynamics","0.00 tsp",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-25,8:31 AM,"Staples","Justin's, Organic Peanut Butter Cups, Dark Chocolate","0.50 pack",110.00,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.18,,,,47.00,,60.00,,10.00,0.50,,,,8.00,9.50,7.00,0.00,,,3.50,0.00,,,,,,,,,,,,,,,,,2.00,,,,,,"Sweets"
2024-05-25,12:00 PM,"Staples","Daily Gruel","0.50 full recipe",597.42,84.14,520.33,0.49,0.86,13.50,2.29,0.77,6.20,1868.84,6902.15,223.74,205.69,396.98,7695.80,299.94,687.37,154.27,727.14,8.72,617.63,622.18,0.88,1.27,5.23,183.63,2.18,821.06,1568.23,112.17,571.80,3.70,33.16,16.03,2.57,2.67,3.88,9.93,16.47,35.48,103.75,17.92,8.64,5.07,0.06,2.56,5.50,2.68,3.04,5.50,0.43,7.18,2.50,1.29,,2.06,3.32,3.44,1.04,1.97,2.05,46.96,2.15,2.21,0.50,1.52,2.39,""
2024-05-25,1:32 PM,"Staples","Fish, Salmon, Pink, Canned, Drained Solids","50.00 g",69.00,,35.36,0.01,0.10,3.70,0.28,0.05,2.47,,,,43.90,2.00,,,10.00,,290.00,0.64,0.05,141.50,0.04,,0.39,16.00,0.02,189.50,166.50,19.75,190.50,0.48,,,,,,,,2.51,41.50,0.61,0.75,0.45,0.01,0.61,0.05,0.74,0.72,1.45,0.09,1.63,0.71,0.31,,0.54,0.88,0.99,0.32,0.48,0.49,11.55,0.51,0.60,0.12,0.42,0.62,"Finfish and Shellfish Products"
2024-05-25,1:34 PM,"Staples","Coconut Cream, Liquid from Grated Meat","1.50 tbsp",74.25,0.07,12.13,0.01,0.00,0.20,0.06,0.01,0.00,0.00,0.00,0.00,2.54,5.17,0.00,0.00,0.00,0.63,0.00,0.04,0.47,2.47,0.09,,0.51,6.30,0.29,27.45,73.12,0.22,0.90,0.22,1.50,0.49,0.02,0.00,0.94,0.95,1.00,7.80,0.00,0.33,0.09,6.92,0.00,0.00,0.09,0.04,0.13,0.08,0.02,0.19,0.04,0.02,,0.03,0.06,0.04,0.02,0.04,0.03,0.82,0.04,0.03,0.01,0.03,0.05,"Fats and Oils"
2024-05-25,2:00 PM,"Staples","Justin's, Organic Peanut Butter Cups, Dark Chocolate","0.50 pack",110.00,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.18,,,,47.00,,60.00,,10.00,0.50,,,,8.00,9.50,7.00,0.00,,,3.50,0.00,,,,,,,,,,,,,,,,,2.00,,,,,,"Sweets"
2024-05-25,4:10 PM,"Staples","Fruit Jars Prototype","1.00 jar",132.26,32.81,192.43,0.12,0.10,1.47,0.42,0.15,0.00,22.36,378.64,22.95,17.97,49.42,201.89,1.41,33.44,54.86,0.00,1.36,18.46,47.45,0.20,0.17,1.33,38.10,1.09,56.64,350.83,1.73,4.43,0.45,30.10,7.15,8.61,0.69,3.86,20.34,22.15,1.95,0.00,0.33,0.97,0.20,0.00,0.66,0.30,0.18,0.10,0.33,0.02,0.26,0.08,0.04,,0.06,0.09,0.08,0.02,0.06,0.10,2.22,0.11,0.07,0.02,0.04,0.08,""
2024-05-25,,"Sometimes","Bjorn Qorn","0.00 small bag",0.00,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,0.00,,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,0.00,,,,,,""
2024-05-25,,"Sometimes","Rooibos Tea","2.00 cup",0.00,0.00,478.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.22,0.05,,0.00,4.74,0.00,0.00,0.00,0.00,18.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2024-05-25,10:00 PM,"Sometimes","KSM-66 Ashwagandha","600.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-25,,"Sometimes","Chickpeas / Garbanzo (Canned, Drained)","0.50 365 WF Can",171.11,11.08,82.13,0.03,0.02,0.17,0.29,0.14,0.00,0.00,17.23,0.00,44.07,59.09,0.00,0.00,1.44,0.12,0.00,0.36,4.19,55.41,0.31,,1.32,32.01,1.04,104.63,155.11,3.82,37.69,0.78,27.73,7.88,0.00,16.98,4.94,4.94,19.73,3.41,0.00,0.60,1.19,0.26,0.00,0.04,0.92,0.37,0.82,1.03,0.12,1.53,0.36,0.24,,0.37,0.62,0.58,0.11,0.47,0.36,8.68,0.44,0.32,0.08,0.22,0.37,""
2024-05-25,,"Supplements","Vitamin D","3.00 x 1000.0 IU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-25,,"Supplements","Doctor's Best, Fully Active Folate","1.00 capsule",,,,,,,,,,,,,,400.00,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-25,,"Supplements","Nature's Bounty, Vitamin B12, 1000 mcg","1.00 tablet",,,,,,,,,1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-25,,"Supplements","Aspirin","81.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-25,,"Supplements","Metagenics OmegaGenics EPA-DHA 720","2.00 softgel",25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,5.00,,,,,1.60,,,,,,,,,,,,,,,,,,,,,,""
2024-05-25,,"Supplements","Zinc","4.00 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-25,,"Supplements","Cetirizine (Zyrtec)","1.00 x 10.0 mg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2024-05-25,,"Supplements","Kyolic, Aged Garlic Extract, Formula 100","1.00 Capsules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2024-05-26,8:00 AM,"Staples","Broccoli, Cooked from Frozen","44.17 g",12.37,1.94,40.07,0.02,0.04,0.20,0.12,0.06,0.00,8.39,263.67,0.44,7.15,24.73,483.62,0.00,22.34,17.71,0.00,0.50,38.91,14.57,0.02,0.22,0.27,5.74,0.10,21.64,62.72,0.31,4.86,0.12,2.36,1.32,0.22,0.30,0.22,0.65,1.04,0.05,0.00,0.00,0.02,0.01,0.00,0.02,0.00,0.06,0.07,0.10,0.01,0.18,0.05,0.02,,0.05,0.06,0.07,0.02,0.04,0.06,1.37,0.05,0.04,0.01,0.03,0.06,"Vegetables and Vegetable Products"
2024-05-26,8:00 AM,"Staples","Brussels Sprouts, Cooked from Frozen","44.17 g",18.55,2.69,38.31,0.05,0.05,0.24,0.15,0.13,0.00,0.00,245.12,0.00,7.99,44.61,680.60,0.00,20.43,20.18,0.00,0.23,85.46,11.48,0.02,0.22,0.21,7.95,0.09,24.73,128.08,0.26,6.62,0.11,3.67,1.81,0.34,0.27,0.18,0.92,1.83,0.17,0.00,0.01,0.09,0.04,0.00,0.06,0.00,0.05,0.10,0.15,0.01,0.37,0.04,0.04,,0.06,0.07,0.07,0.02,0.05,0.06,1.61,0.07,0.06,0.02,0.02,0.07,"Vegetables and Vegetable Products"
2024-05-26,8:00 AM,"Staples","Kale, Cooked from Frozen","88.33 g",31.80,1.50,79.34,0.06,0.12,0.40,0.15,0.06,0.00,8.83,1529.03,22.97,0.44,57.42,4401.60,0.00,128.74,15.72,0.00,1.42,369.67,132.50,0.06,,0.74,22.08,0.48,37.10,127.20,0.88,14.13,0.24,4.68,2.03,0.37,0.26,0.22,1.07,2.58,1.07,0.00,0.08,0.53,0.14,0.00,0.30,0.23,0.13,0.14,0.23,0.03,0.29,0.12,0.15,,0.16,0.18,0.16,0.03,0.13,0.15,2.60,0.11,0.12,0.03,0.09,0.14,"Vegetables and Vegetable Products"
2024-05-26,8:00 AM,"Staples","Mushrooms, Raw","27.53 g",6.06,1.22,25.45,0.02,0.11,0.99,0.41,0.03,0.01,0.00,0.00,0.00,4.76,4.68,0.00,0.00,0.00,0.58,1.93,0.00,0.00,0.83,0.09,0.08,0.14,2.48,0.01,23.68,87.55,2.56,1.38,0.14,0.90,0.28,0.05,0.16,0.00,0.55,0.41,0.09,0.00,0.00,0.04,0.01,0.00,0.00,0.04,0.05,0.02,0.05,0.00,0.09,0.03,0.02,,0.02,0.03,0.03,0.01,0.02,0.02,0.85,0.03,0.03,0.01,0.01,0.06,"Vegetables and Vegetable Products"
2024-05-26,8:00 AM,"Staples","Edamame, Green or Immature, Cooked from Frozen","33.08 g",40.02,8.93,24.07,0.07,0.05,0.30,0.13,0.03,0.00,0.00,57.88,2.65,18.62,102.87,535.50,0.00,4.93,2.02,0.00,0.22,8.83,20.84,0.11,,0.75,21.17,0.34,55.90,144.21,0.26,1.98,0.45,2.95,1.72,0.04,0.50,0.37,0.72,1.18,1.72,0.00,0.42,0.71,0.21,0.00,0.12,0.59,0.15,0.24,0.45,0.04,0.67,0.14,0.09,,0.10,0.25,0.25,0.05,0.16,0.23,3.94,0.22,0.11,0.04,0.11,0.11,"Vegetables and Vegetable Products"
2024-05-26,8:00 AM,"Staples","Artichoke Hearts or Globe, Cooked from Frozen","33.08 g",17.53,2.25,27.81,0.02,0.03,0.37,0.08,0.03,0.00,0.00,2.65,0.00,11.38,29.44,153.47,0.00,0.22,2.45,0.00,0.06,4.90,6.95,0.04,,0.20,13.89,0.07,24.15,94.60,0.07,19.85,0.13,3.95,1.89,0.01,0.00,0.24,0.33,2.02,0.11,0.00,0.00,0.05,0.03,0.00,0.01,0.00,0.07,0.06,0.06,0.00,0.11,0.05,0.04,,0.06,0.09,0.09,0.00,0.07,0.00,0.96,0.07,0.07,0.00,0.04,0.08,"Vegetables and Vegetable Products"
2024-05-26,8:00 AM,"Staples","Asparagus, Cooked from Frozen","33.08 g",5.95,1.49,31.12,0.02,0.03,0.34,0.05,0.01,0.00,0.00,159.76,0.00,6.91,44.65,204.41,7.94,13.31,8.07,0.00,0.35,26.46,5.95,0.03,0.26,0.19,3.31,0.05,16.21,56.89,1.29,0.99,0.14,0.64,0.53,0.05,0.01,0.01,0.11,0.09,0.14,0.00,0.00,0.06,0.03,0.00,0.00,0.00,0.05,0.05,0.11,0.01,0.16,0.03,0.02,,0.04,0.04,0.05,0.01,0.02,0.05,0.98,0.04,0.03,0.01,0.02,0.04,"Vegetables and Vegetable Products"
